,ticker,fiscal_year,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities,exchange_gains_losses,net_cash_flow_from_investing_activities,net_cash_flow_from_financing_activities_continuing,net_cash_flow,net_cash_flow_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_financing_activities_discontinued
0001090872:2011:FY,A,2011,1260000000.0,1294000000.0,-1693000000.0,17000000.0,1294000000.0,-1693000000.0,878000000.0,861000000.0,1260000000.0,0.0,0.0,0.0,0.0
0001090872:2012:FY,A,2012,1228000000.0,-2372000000.0,-31000000.0,-1000000.0,-2372000000.0,-31000000.0,-1176000000.0,-1175000000.0,1228000000.0,0.0,0.0,0.0,0.0
0001090872:2013:FY,A,2013,1152000000.0,-248000000.0,-554000000.0,-26000000.0,-248000000.0,-554000000.0,324000000.0,350000000.0,1152000000.0,0.0,0.0,0.0,0.0
0001090872:2014:FY,A,2014,711000000.0,-230000000.0,-97000000.0,-31000000.0,-230000000.0,-97000000.0,353000000.0,384000000.0,711000000.0,0.0,0.0,0.0,0.0
0001090872:2015:FY,A,2015,491000000.0,-400000000.0,-1068000000.0,-48000000.0,-400000000.0,-1068000000.0,-1025000000.0,-977000000.0,491000000.0,0.0,0.0,0.0,0.0
0001090872:2016:FY,A,2016,793000000.0,-238000000.0,-268000000.0,-1000000.0,-238000000.0,-268000000.0,286000000.0,287000000.0,793000000.0,0.0,0.0,0.0,0.0
0001090872:2017:FY,A,2017,889000000.0,-305000000.0,-202000000.0,7000000.0,-305000000.0,-202000000.0,389000000.0,382000000.0,889000000.0,0.0,0.0,0.0,0.0
0001090872:2018:FY,A,2018,1087000000.0,-704000000.0,-797000000.0,-17000000.0,-704000000.0,-797000000.0,-431000000.0,-414000000.0,1087000000.0,0.0,0.0,0.0,0.0
0001090872:2019:FY,A,2019,1021000000.0,-1590000000.0,-299000000.0,2000000.0,-1590000000.0,-299000000.0,-866000000.0,-868000000.0,1021000000.0,0.0,0.0,0.0,0.0
0001090872:2020:FY,A,2020,921000000.0,-147000000.0,-717000000.0,2000000.0,-147000000.0,-717000000.0,59000000.0,57000000.0,921000000.0,0.0,0.0,0.0,0.0
0001090872:2021:FY,A,2021,1485000000.0,-749000000.0,-696000000.0,3000000.0,-749000000.0,-696000000.0,43000000.0,40000000.0,1485000000.0,0.0,0.0,0.0,0.0
