,company_name,sic,office,industry,cik
A,AGILENT TECHNOLOGIES INC,3825,Industrial Applications and Services,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,1090872
AA,ALCOA INC,3350,Office of Manufacturing,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,4281
AADI,"Aadi Bioscience, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1422142
AAL,American Airlines Group Inc.,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",6201
AAN,AARON'S INC,7359,Office of Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",706688
AAON,AAON INC,3585,Office of Technology,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,824142
AAP,ADVANCE AUTO PARTS INC,5531,Office of Trade & Services,RETAIL-AUTO & HOME SUPPLY STORES,1158449
AAPL,APPLE INC,3571,Office of Technology,ELECTRONIC COMPUTERS,320193
AAT,"American Assets Trust, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1500217
AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,4522,Office of Energy & Transportation,"AIR TRANSPORTATION, NONSCHEDULED",1135185
ABBV,AbbVie Inc.,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1551152
ABC,AMERISOURCEBERGEN CORP,5122,Office of Trade & Services,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",1140859
ABCB,Ameris Bancorp,6022,Office of Finance,STATE COMMERCIAL BANKS,351569
ABCL,AbCellera Biologics Inc.,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1703057
ABG,ASBURY AUTOMOTIVE GROUP INC,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,1144980
ABM,ABM INDUSTRIES INC /DE/,7340,Office of Trade & Services,SERVICES-TO DWELLINGS & OTHER BUILDINGS,771497
ABMD,ABIOMED INC,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,815094
ABNB,"Airbnb, Inc.",7340,Office of Trade & Services,SERVICES-TO DWELLINGS & OTHER BUILDINGS,1559720
ABR,ARBOR REALTY TRUST INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1253986
ABSI,Absci Corp,8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,1672688
ABT,ABBOTT LABORATORIES,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1800
ABTX,"Allegiance Bancshares, Inc.",6022,Office of Finance,STATE COMMERCIAL BANKS,1642081
ABUS,Arbutus Biopharma Corp,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1447028
AC,"Associated Capital Group, Inc.",6211,Office of Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",1642122
ACA,"Arcosa, Inc.",3523,Office of Technology,FARM MACHINERY & EQUIPMENT,1739445
