,ticker,fiscal_year,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_noncontrolling_interest
0001090872:2011:FY,A,2011,0.0,204000000.0,1216000000.0,1216000000.0,0.0,0.0
0001090872:2012:FY,A,2012,0.0,-227000000.0,926000000.0,926000000.0,0.0,0.0
0001090872:2013:FY,A,2013,0.0,202000000.0,926000000.0,926000000.0,0.0,0.0
0001090872:2014:FY,A,2014,0.0,-425000000.0,79000000.0,79000000.0,0.0,0.0
0001090872:2015:FY,A,2015,0.0,-389000000.0,12000000.0,12000000.0,0.0,0.0
0001090872:2016:FY,A,2016,0.0,-112000000.0,350000000.0,350000000.0,0.0,0.0
0001090872:2017:FY,A,2017,0.0,157000000.0,841000000.0,841000000.0,0.0,0.0
0001090872:2018:FY,A,2018,0.0,-62000000.0,254000000.0,254000000.0,0.0,0.0
0001090872:2019:FY,A,2019,0.0,-99000000.0,972000000.0,972000000.0,0.0,0.0
0001090872:2020:FY,A,2020,0.0,-8000000.0,711000000.0,711000000.0,0.0,0.0
0001090872:2021:FY,A,2021,0.0,240000000.0,1450000000.0,1450000000.0,0.0,0.0
0001090872:2022:FY,A,2022,0.0,-65000000.0,1189000000.0,1189000000.0,0.0,0.0
0000004281:2009:FY,AA,2009,0.0,1400000000.0,310000000.0,310000000.0,0.0,0.0
0000004281:2011:FY,AA,2011,-376000000.0,0.0,611000000.0,611000000.0,0.0,0.0
0000004281:2012:FY,AA,2012,0.0,-848000000.0,-686000000.0,-686000000.0,0.0,0.0
0000004281:2013:FY,AA,2013,0.0,-595000000.0,-2839000000.0,-2839000000.0,0.0,0.0
0000004281:2014:FY,AA,2014,0.0,-1272000000.0,-1095000000.0,-1095000000.0,0.0,0.0
0000004281:2015:FY,AA,2015,0.0,-1176000000.0,-1373000000.0,-1373000000.0,0.0,0.0
0001675149:2016:FY,AA,2016,0.0,-229000000.0,-575000000.0,-575000000.0,0.0,0.0
0001675149:2017:FY,AA,2017,0.0,-1252000000.0,-693000000.0,-693000000.0,0.0,0.0
0001675149:2018:FY,AA,2018,0.0,369000000.0,1240000000.0,1240000000.0,0.0,0.0
0001675149:2019:FY,AA,2019,227000000.0,-454000000.0,-1307000000.0,-1534000000.0,-409000000.0,-45000000.0
0001675149:2020:FY,AA,2020,114000000.0,-697000000.0,-711000000.0,-825000000.0,-655000000.0,-42000000.0
0001675149:2021:FY,AA,2021,102000000.0,998000000.0,1568000000.0,1466000000.0,1037000000.0,-39000000.0
0001422142:2021:FY,AADI,2021,0.0,-110737000.0,-110737000.0,-110737000.0,0.0,0.0
0000006201:2013:FY,AAL,2013,0.0,-886000000.0,-886000000.0,-886000000.0,948000000.0,0.0
0000006201:2014:FY,AAL,2014,0.0,355000000.0,355000000.0,355000000.0,-2527000000.0,0.0
0000006201:2015:FY,AAL,2015,0.0,-173000000.0,7437000000.0,7437000000.0,0.0,0.0
0000006201:2016:FY,AAL,2016,0.0,-351000000.0,2325000000.0,2325000000.0,0.0,0.0
0000006201:2017:FY,AAL,2017,0.0,1848000000.0,1848000000.0,1848000000.0,-71000000.0,0.0
