,ticker,start_date,end_date,filing_date,fiscal_year,time_frame,source_filing_url
0001090872:2011:FY,A,2010-11-01,2011-10-31,2011-12-16,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-11-010124
0001090872:2012:FY,A,2011-11-01,2012-10-31,2012-12-20,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-12-000018
0001090872:2013:FY,A,2012-11-01,2013-10-31,2013-12-19,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-13-000029
0001090872:2014:FY,A,2013-11-01,2014-10-31,2014-12-22,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-14-000045
0001090872:2015:FY,A,2014-11-01,2015-10-31,2015-12-21,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-15-000051
0001090872:2016:FY,A,2015-11-01,2016-10-31,2016-12-20,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-16-000082
0001090872:2017:FY,A,2016-11-01,2017-10-31,2017-12-21,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-17-000018
0001090872:2018:FY,A,2017-11-01,2018-10-31,2018-12-20,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-18-000019
0001090872:2019:FY,A,2018-11-01,2019-10-31,2019-12-19,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-19-000022
0001090872:2020:FY,A,2019-11-01,2020-10-31,2020-12-18,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-20-000020
0001090872:2021:FY,A,2020-11-01,2021-10-31,2021-12-17,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-21-000027
0001090872:2022:FY,A,2021-11-01,2022-10-31,2022-12-21,2022,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-22-000026
0000004281:2009:FY,AA,2009-01-01,2009-12-31,2010-02-18,2009,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-10-034308
0000004281:2011:FY,AA,2011-01-01,2011-12-31,2012-02-16,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-12-065493
0000004281:2012:FY,AA,2012-01-01,2012-12-31,2013-02-15,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-13-062916
0000004281:2013:FY,AA,2013-01-01,2013-12-31,2014-02-13,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-14-051516
0000004281:2014:FY,AA,2014-01-01,2014-12-31,2015-02-19,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-15-054376
0000004281:2015:FY,AA,2015-01-01,2015-12-31,2016-02-19,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-16-470162
0001675149:2016:FY,AA,2016-01-01,2016-12-31,2017-03-15,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-17-083862
0001675149:2017:FY,AA,2017-01-01,2017-12-31,2018-02-26,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-18-056314
0001675149:2018:FY,AA,2018-01-01,2018-12-31,2019-02-26,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-19-004171
0001675149:2019:FY,AA,2019-01-01,2019-12-31,2020-02-21,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-20-005759
0001675149:2020:FY,AA,2020-01-01,2020-12-31,2021-02-25,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-008854
0001675149:2021:FY,AA,2021-01-01,2021-12-31,2022-02-24,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-006763
0001422142:2021:FY,AADI,2021-01-01,2021-12-31,2022-03-17,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-010721
0000006201:2013:FY,AAL,2013-01-01,2013-12-31,2014-02-28,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0000006201-14-000004
