,ticker,fiscal_year,current_liabilities,current_assets,fixed_assets,other_than_fixed_noncurrent_assets,equity,liabilities_and_equity,equity_attributable_to_parent,equity_attributable_to_noncontrolling_interest,assets,noncurrent_liabilities,liabilities,noncurrent_assets,commitments_and_contingencies,temporary_equity_attributable_to_parent,temporary_equity,redeemable_noncontrolling_interest_preferred,redeemable_noncontrolling_interest,redeemable_noncontrolling_interest_other,redeemable_noncontrolling_interest_common
0001090872:2011:FY,A,2011,1837000000.0,5569000000.0,1006000000.0,2482000000.0,4316000000.0,9057000000.0,4308000000.0,8000000.0,9057000000.0,2904000000.0,4741000000.0,3488000000.0,,,,,,,
0001090872:2012:FY,A,2012,1893000000.0,4629000000.0,1164000000.0,4743000000.0,5185000000.0,10536000000.0,5182000000.0,3000000.0,10536000000.0,3458000000.0,5351000000.0,5907000000.0,,,,,,,
0001090872:2013:FY,A,2013,1602000000.0,4983000000.0,1134000000.0,4569000000.0,5289000000.0,10686000000.0,5286000000.0,3000000.0,10686000000.0,3795000000.0,5397000000.0,5703000000.0,,,,,,,
0001090872:2014:FY,A,2014,1702000000.0,5500000000.0,1101000000.0,4230000000.0,5301000000.0,10831000000.0,5298000000.0,3000000.0,10831000000.0,3828000000.0,5530000000.0,5331000000.0,,,,,,,
0001090872:2015:FY,A,2015,976000000.0,3686000000.0,604000000.0,3189000000.0,4170000000.0,7479000000.0,4167000000.0,3000000.0,7479000000.0,2333000000.0,3309000000.0,3793000000.0,,,,,,,
0001090872:2016:FY,A,2016,945000000.0,3635000000.0,639000000.0,3528000000.0,4246000000.0,7802000000.0,4243000000.0,3000000.0,7802000000.0,2611000000.0,3556000000.0,4167000000.0,,,,,,,
0001090872:2017:FY,A,2017,1263000000.0,4169000000.0,757000000.0,3500000000.0,4835000000.0,8426000000.0,4831000000.0,4000000.0,8426000000.0,2328000000.0,3591000000.0,4257000000.0,,,,,,,
0001090872:2018:FY,A,2018,1171000000.0,3848000000.0,822000000.0,3871000000.0,4571000000.0,8541000000.0,4567000000.0,4000000.0,8541000000.0,2799000000.0,3970000000.0,4693000000.0,,,,,,,
0001090872:2019:FY,A,2019,2080000000.0,3189000000.0,850000000.0,5413000000.0,4748000000.0,9452000000.0,4748000000.0,0.0,9452000000.0,2624000000.0,4704000000.0,6263000000.0,,,,,,,
0001090872:2020:FY,A,2020,1467000000.0,3415000000.0,845000000.0,5367000000.0,4873000000.0,9627000000.0,4873000000.0,0.0,9627000000.0,3287000000.0,4754000000.0,6212000000.0,,,,,,,
0001090872:2021:FY,A,2021,1708000000.0,3799000000.0,945000000.0,5961000000.0,5389000000.0,10705000000.0,5389000000.0,0.0,10705000000.0,3608000000.0,5316000000.0,6906000000.0,,,,,,,
0001090872:2022:FY,A,2022,1861000000.0,3778000000.0,1100000000.0,5654000000.0,5305000000.0,10532000000.0,5305000000.0,0.0,10532000000.0,3366000000.0,5227000000.0,6754000000.0,,,,,,,
0000004281:2009:FY,AA,2009,5414000000.0,7022000000.0,19828000000.0,11622000000.0,15520000000.0,38472000000.0,12420000000.0,3100000000.0,38472000000.0,17498000000.0,22912000000.0,31450000000.0,,,,,,,
0000004281:2011:FY,AA,2011,6013000000.0,7713000000.0,19416000000.0,12991000000.0,17195000000.0,40120000000.0,13844000000.0,3351000000.0,40120000000.0,16912000000.0,22925000000.0,32407000000.0,,,,,,,
0000004281:2012:FY,AA,2012,5942000000.0,7700000000.0,18947000000.0,13532000000.0,16523000000.0,40179000000.0,13199000000.0,3324000000.0,40179000000.0,17714000000.0,23656000000.0,32479000000.0,,,,,,,
0000004281:2013:FY,AA,2013,6105000000.0,6969000000.0,17639000000.0,11134000000.0,13522000000.0,35742000000.0,10593000000.0,2929000000.0,35742000000.0,16115000000.0,22220000000.0,28773000000.0,,,,,,,
0000004281:2014:FY,AA,2014,5541000000.0,8269000000.0,16426000000.0,12704000000.0,14794000000.0,37399000000.0,12306000000.0,2488000000.0,37399000000.0,17064000000.0,22605000000.0,29130000000.0,,,,,,,
0000004281:2015:FY,AA,2015,5211000000.0,7953000000.0,14815000000.0,13760000000.0,14131000000.0,36528000000.0,12046000000.0,2085000000.0,36528000000.0,17186000000.0,22397000000.0,28575000000.0,,,,,,,
0001675149:2016:FY,AA,2016,2821000000.0,3181000000.0,9325000000.0,4235000000.0,7697000000.0,16741000000.0,5654000000.0,2043000000.0,16741000000.0,6223000000.0,9044000000.0,13560000000.0,,,,,,,
0001675149:2017:FY,AA,2017,3252000000.0,4238000000.0,9138000000.0,4071000000.0,6798000000.0,17447000000.0,4523000000.0,2275000000.0,17447000000.0,7397000000.0,10649000000.0,13209000000.0,,,,,,,
0001675149:2018:FY,AA,2018,2919000000.0,4134000000.0,8327000000.0,3477000000.0,7394000000.0,15938000000.0,5389000000.0,2005000000.0,15938000000.0,5625000000.0,8544000000.0,11804000000.0,,,,,,,
0001675149:2019:FY,AA,2019,2563000000.0,3530000000.0,7916000000.0,3185000000.0,5886000000.0,14631000000.0,4112000000.0,1774000000.0,14631000000.0,6182000000.0,8745000000.0,11101000000.0,,,,,,,
0001675149:2020:FY,AA,2020,2761000000.0,4520000000.0,7190000000.0,3150000000.0,5016000000.0,14860000000.0,3311000000.0,1705000000.0,14860000000.0,7083000000.0,9844000000.0,10340000000.0,,,,,,,
0001675149:2021:FY,AA,2021,3223000000.0,5026000000.0,6623000000.0,3376000000.0,6284000000.0,15025000000.0,4672000000.0,1612000000.0,15025000000.0,5518000000.0,8741000000.0,9999000000.0,,,,,,,
0001422142:2021:FY,AADI,2021,15273000.0,151272000.0,57000.0,6581000.0,136406000.0,157910000.0,136406000.0,0.0,157910000.0,6231000.0,21504000.0,6638000.0,,,,,,,
0000006201:2013:FY,AAL,2013,13806000000.0,14323000000.0,19259000000.0,8696000000.0,-2731000000.0,42278000000.0,-2731000000.0,0.0,42278000000.0,31203000000.0,45009000000.0,27955000000.0,,,,,,,
