,ticker,fiscal_year,net_cash_flow_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities,net_cash_flow_from_financing_activities,exchange_gains_losses
0000050863:2009:FY,INTC,2009,637000000.0,-2568000000.0,637000000.0,11170000000.0,-7965000000.0,11170000000.0,-7965000000.0,-2568000000.0,
0000050863:2010:FY,INTC,2010,1511000000.0,-4642000000.0,1511000000.0,16692000000.0,-10539000000.0,16692000000.0,-10539000000.0,-4642000000.0,
0000050863:2011:FY,INTC,2011,-438000000.0,-11100000000.0,-433000000.0,20963000000.0,-10301000000.0,20963000000.0,-10301000000.0,-11100000000.0,5000000.0
0000050863:2012:FY,INTC,2012,3416000000.0,-1408000000.0,3413000000.0,18884000000.0,-14060000000.0,18884000000.0,-14060000000.0,-1408000000.0,-3000000.0
0000050863:2013:FY,INTC,2013,-2795000000.0,-5498000000.0,-2804000000.0,20776000000.0,-18073000000.0,20776000000.0,-18073000000.0,-5498000000.0,-9000000.0
0000050863:2014:FY,INTC,2014,-3098000000.0,-13611000000.0,-3113000000.0,20418000000.0,-9905000000.0,20418000000.0,-9905000000.0,-13611000000.0,-15000000.0
0000050863:2015:FY,INTC,2015,12746000000.0,1912000000.0,12747000000.0,19017000000.0,-8183000000.0,19017000000.0,-8183000000.0,1912000000.0,1000000.0
0000050863:2016:FY,INTC,2016,-9748000000.0,-5739000000.0,-9748000000.0,21808000000.0,-25817000000.0,21808000000.0,-25817000000.0,-5739000000.0,0.0
0000050863:2017:FY,INTC,2017,-2127000000.0,-8475000000.0,-2127000000.0,22110000000.0,-15762000000.0,22110000000.0,-15762000000.0,-8475000000.0,
0000050863:2018:FY,INTC,2018,-414000000.0,-18607000000.0,-414000000.0,29432000000.0,-11239000000.0,29432000000.0,-11239000000.0,-18607000000.0,
0000050863:2019:FY,INTC,2019,1175000000.0,-17565000000.0,1175000000.0,33145000000.0,-14405000000.0,33145000000.0,-14405000000.0,-17565000000.0,
