,company_name,sic,office,industry,cik
A,AGILENT TECHNOLOGIES INC,3825,Industrial Applications and Services,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,0001090872
AA,ALCOA INC,3350,Office of Manufacturing,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,0000004281
AADI,"Aadi Bioscience, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001422142
AAL,American Airlines Group Inc.,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",0000006201
AAN,AARON'S INC,7359,Office of Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",0000706688
AAON,AAON INC,3585,Office of Technology,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,0000824142
AAP,ADVANCE AUTO PARTS INC,5531,Office of Trade & Services,RETAIL-AUTO & HOME SUPPLY STORES,0001158449
AAPL,APPLE INC,3571,Office of Technology,ELECTRONIC COMPUTERS,0000320193
AAT,"American Assets Trust, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001500217
AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,4522,Office of Energy & Transportation,"AIR TRANSPORTATION, NONSCHEDULED",0001135185
ABBV,AbbVie Inc.,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001551152
ABC,AMERISOURCEBERGEN CORP,5122,Office of Trade & Services,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",0001140859
ABCB,Ameris Bancorp,6022,Office of Finance,STATE COMMERCIAL BANKS,0000351569
ABCL,AbCellera Biologics Inc.,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001703057
ABG,ASBURY AUTOMOTIVE GROUP INC,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,0001144980
ABM,ABM INDUSTRIES INC /DE/,7340,Office of Trade & Services,SERVICES-TO DWELLINGS & OTHER BUILDINGS,0000771497
ABMD,ABIOMED INC,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,0000815094
ABNB,"Airbnb, Inc.",7340,Office of Trade & Services,SERVICES-TO DWELLINGS & OTHER BUILDINGS,0001559720
ABR,ARBOR REALTY TRUST INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001253986
ABSI,Absci Corp,8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,0001672688
ABT,ABBOTT LABORATORIES,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0000001800
ABTX,"Allegiance Bancshares, Inc.",6022,Office of Finance,STATE COMMERCIAL BANKS,0001642081
ABUS,Arbutus Biopharma Corp,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001447028
AC,"Associated Capital Group, Inc.",6211,Office of Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",0001642122
ACA,"Arcosa, Inc.",3523,Office of Technology,FARM MACHINERY & EQUIPMENT,0001739445
ACAD,ACADIA PHARMACEUTICALS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001070494
ACC,AMERICAN CAMPUS COMMUNITIES INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001283630
ACCD,"Accolade, Inc.",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001481646
ACCO,ACCO BRANDS CORP,2780,Office of Manufacturing,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",0000712034
ACEL,"Accel Entertainment, Inc.",7900,Office of Trade & Services,SERVICES-AMUSEMENT & RECREATION SERVICES,0001698991
ACET,ACETO CORP,5160,Office of Trade & Services,WHOLESALE-CHEMICALS & ALLIED PRODUCTS,0000002034
ACGL,ARCH CAPITAL GROUP LTD.,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",0000947484
ACHC,"Acadia Healthcare Company, Inc.",8093,Industrial Applications and Services,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",0001520697
ACHR,Archer Aviation Inc.,3721,Office of Manufacturing,AIRCRAFT,0001824502
ACI,ARCH COAL INC,1221,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE SURFACE MINING,0001037676
ACIW,"ACI WORLDWIDE, INC.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0000935036
ACLS,AXCELIS TECHNOLOGIES INC,3559,Office of Technology,"SPECIAL INDUSTRY MACHINERY, NEC",0001113232
ACM,AECOM TECHNOLOGY CORP,8711,Office of Trade & Services,SERVICES-ENGINEERING SERVICES,0000868857
ACMR,"ACM Research, Inc.",3559,Office of Technology,"SPECIAL INDUSTRY MACHINERY, NEC",0001680062
ACN,Accenture plc,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001467373
ACNB,ACNB CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,0000715579
ACRE,Ares Commercial Real Estate Corp,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001529377
ACRS,"Aclaris Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001557746
ACT,"Enact Holdings, Inc.",6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",0001823529
ACVA,ACV Auctions Inc.,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001637873
ADBE,ADOBE SYSTEMS INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0000796343
ADC,AGREE REALTY CORP,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0000917251
ADGI,"Adagio Therapeutics, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0001832038
ADI,ANALOG DEVICES INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0000006281
ADM,ARCHER DANIELS MIDLAND CO,2070,Office of Manufacturing,FATS & OILS,0000007084
ADMA,"ADMA BIOLOGICS, INC.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0001368514
ADNT,Adient plc,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,0001670541
ADP,AUTOMATIC DATA PROCESSING INC,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,0000008670
ADPT,Adeptus Health Inc.,8060,Industrial Applications and Services,SERVICES-HOSPITALS,0001602367
ADSK,AUTODESK INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0000769397
ADT,ADT Corp,7381,Office of Trade & Services,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",0001546640
ADTH,"AdTheorent Holding Company, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",0001838672
