,ticker,fiscal_year,revenues,income_loss_from_continuing_operations_before_tax,income_tax_expense_benefit,preferred_stock_dividends_and_other_adjustments,operating_expenses,benefits_costs_expenses,cost_of_revenue,participating_securities_distributed_and_undistributed_earnings_loss_basic,income_loss_from_continuing_operations_after_tax,net_income_loss_available_to_common_stockholders_basic,diluted_earnings_per_share,net_income_loss,net_income_loss_attributable_to_noncontrolling_interest,basic_earnings_per_share,net_income_loss_attributable_to_parent,costs_and_expenses,gross_profit,operating_income_loss,income_loss_from_equity_method_investments,income_loss_before_equity_method_investments,income_tax_expense_benefit_current,income_tax_expense_benefit_deferred,interest_expense_operating,nonoperating_income_loss,cost_of_revenue_services,cost_of_revenue_goods,provision_for_loan_lease_and_other_losses,income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_loss_from_discontinued_operations_net_of_tax
0000050863:2009:FY,INTC,2009,35127000000.0,35127000000.0,1335000000.0,0.0,13850000000.0,0.0,15566000000.0,0.0,4369000000.0,4369000000.0,0.77,4369000000.0,0.0,0.79,4369000000.0,29416000000.0,19561000000.0,5711000000.0,,,,,,,,,,,
0000050863:2010:FY,INTC,2010,43623000000.0,43623000000.0,4581000000.0,0.0,12903000000.0,0.0,15132000000.0,0.0,11464000000.0,11464000000.0,2.01,11464000000.0,0.0,2.06,11464000000.0,28035000000.0,28491000000.0,15588000000.0,-113000000.0,43736000000.0,4459000000.0,122000000.0,,,,,,,
0000050863:2011:FY,INTC,2011,53999000000.0,17781000000.0,4839000000.0,0.0,16280000000.0,36218000000.0,20242000000.0,0.0,12942000000.0,12942000000.0,2.39,12942000000.0,0.0,2.46,12942000000.0,36218000000.0,33757000000.0,17477000000.0,-204000000.0,17985000000.0,3690000000.0,1149000000.0,41000000.0,,,,,,
0000050863:2012:FY,INTC,2012,53341000000.0,14873000000.0,3868000000.0,0.0,18513000000.0,38468000000.0,20190000000.0,0.0,11005000000.0,11005000000.0,2.13,11005000000.0,0.0,2.2,11005000000.0,38468000000.0,33151000000.0,14638000000.0,-81000000.0,14954000000.0,3726000000.0,142000000.0,90000000.0,,,,,,
0000050863:2013:FY,INTC,2013,52708000000.0,12611000000.0,2991000000.0,0.0,19230000000.0,40097000000.0,21187000000.0,0.0,9620000000.0,9620000000.0,1.89,9620000000.0,0.0,1.94,9620000000.0,40097000000.0,31521000000.0,12291000000.0,-69000000.0,12680000000.0,3514000000.0,-523000000.0,244000000.0,,,,,,
0000050863:2014:FY,INTC,2014,55870000000.0,15801000000.0,4097000000.0,0.0,20262000000.0,40069000000.0,20261000000.0,0.0,11704000000.0,11704000000.0,2.31,11704000000.0,0.0,2.39,11704000000.0,40069000000.0,35609000000.0,15347000000.0,-69000000.0,15870000000.0,4381000000.0,-284000000.0,192000000.0,,,,,,
0000050863:2015:FY,INTC,2015,55355000000.0,14212000000.0,2792000000.0,0.0,20677000000.0,41143000000.0,20676000000.0,0.0,11420000000.0,11420000000.0,2.33,11420000000.0,0.0,2.41,11420000000.0,41143000000.0,34679000000.0,14002000000.0,-95000000.0,14307000000.0,3710000000.0,-918000000.0,337000000.0,,,,,,
0000050863:2016:FY,INTC,2016,59387000000.0,12936000000.0,2620000000.0,0.0,23317000000.0,46451000000.0,23196000000.0,0.0,10316000000.0,10316000000.0,2.12,10316000000.0,0.0,2.18,10316000000.0,46451000000.0,36191000000.0,12874000000.0,-38000000.0,12974000000.0,2088000000.0,532000000.0,733000000.0,,,,,,
0000050863:2017:FY,INTC,2017,62761000000.0,20352000000.0,10751000000.0,0.0,21133000000.0,42409000000.0,23692000000.0,0.0,9601000000.0,9601000000.0,1.99,9601000000.0,0.0,2.04,9601000000.0,42409000000.0,39069000000.0,17936000000.0,-232000000.0,20584000000.0,11133000000.0,-382000000.0,646000000.0,-235000000.0,,,,,
0000050863:2018:FY,INTC,2018,70848000000.0,23317000000.0,2264000000.0,0.0,20421000000.0,47531000000.0,27111000000.0,0.0,21053000000.0,21053000000.0,4.48,21053000000.0,0.0,4.57,21053000000.0,47531000000.0,43737000000.0,23316000000.0,-153000000.0,23470000000.0,3872000000.0,-1608000000.0,468000000.0,126000000.0,,,,,
0000050863:2019:FY,INTC,2019,71965000000.0,24058000000.0,3010000000.0,0.0,20105000000.0,47907000000.0,29825000000.0,0.0,21048000000.0,21048000000.0,4.71,21048000000.0,0.0,4.77,21048000000.0,47907000000.0,42140000000.0,22035000000.0,0.0,,2488000000.0,522000000.0,489000000.0,484000000.0,,,,,
0000050863:2020:FY,INTC,2020,77867000000.0,25078000000.0,4179000000.0,0.0,19934000000.0,52789000000.0,34255000000.0,0.0,20899000000.0,20899000000.0,4.94,20899000000.0,0.0,4.98,20899000000.0,52789000000.0,43612000000.0,23678000000.0,,,2410000000.0,1769000000.0,629000000.0,-504000000.0,,,,,
0000050863:2021:FY,INTC,2021,79024000000.0,21703000000.0,1835000000.0,0.0,24359000000.0,57321000000.0,35209000000.0,0.0,19868000000.0,19868000000.0,4.86,19868000000.0,0.0,4.89,19868000000.0,57321000000.0,43815000000.0,19456000000.0,,,2577000000.0,-742000000.0,597000000.0,-482000000.0,,,,,
0001341439:2011:FY,ORCL,2011,35622000000.0,12033000000.0,2864000000.0,0.0,21532000000.0,23589000000.0,2057000000.0,0.0,8644000000.0,8547000000.0,1.67,8644000000.0,97000000.0,1.69,8547000000.0,23589000000.0,33565000000.0,12033000000.0,,,3117000000.0,253000000.0,808000000.0,186000000.0,1259000000.0,,,,
0001341439:2012:FY,ORCL,2012,37121000000.0,13706000000.0,2981000000.0,0.0,19672000000.0,23415000000.0,3743000000.0,0.0,10100000000.0,9981000000.0,1.96,10100000000.0,119000000.0,1.99,9981000000.0,23415000000.0,33378000000.0,13706000000.0,,,2972000000.0,9000000.0,766000000.0,22000000.0,3743000000.0,,,,
0001341439:2013:FY,ORCL,2013,37180000000.0,13898000000.0,2973000000.0,0.0,18949000000.0,23282000000.0,3547000000.0,0.0,10925000000.0,10925000000.0,2.26,11037000000.0,112000000.0,2.29,10925000000.0,22496000000.0,33633000000.0,14684000000.0,,,3090000000.0,-117000000.0,797000000.0,11000000.0,3547000000.0,,,,
0001341439:2014:FY,ORCL,2014,38275000000.0,13704000000.0,2749000000.0,0.0,20562000000.0,24571000000.0,2954000000.0,0.0,10955000000.0,10955000000.0,2.38,11053000000.0,98000000.0,2.42,10955000000.0,23516000000.0,35321000000.0,14759000000.0,,,2997000000.0,-248000000.0,914000000.0,-141000000.0,2954000000.0,,,,
0001341439:2015:FY,ORCL,2015,38226000000.0,12834000000.0,2896000000.0,0.0,21426000000.0,25392000000.0,2929000000.0,0.0,9938000000.0,9938000000.0,2.21,10051000000.0,113000000.0,2.26,9938000000.0,24355000000.0,35297000000.0,13871000000.0,,,3444000000.0,-548000000.0,1143000000.0,106000000.0,2929000000.0,,,,
0001341439:2016:FY,ORCL,2016,37047000000.0,11442000000.0,2541000000.0,0.0,21692000000.0,25605000000.0,2751000000.0,0.0,8901000000.0,8901000000.0,2.07,9017000000.0,116000000.0,2.11,8901000000.0,24443000000.0,34296000000.0,12604000000.0,,,2646000000.0,-105000000.0,1467000000.0,305000000.0,2751000000.0,,,,
0001341439:2017:FY,ORCL,2017,37728000000.0,11517000000.0,2182000000.0,0.0,10307000000.0,26211000000.0,2801000000.0,0.0,9335000000.0,9335000000.0,2.21,9453000000.0,118000000.0,2.27,9335000000.0,25018000000.0,23017000000.0,12710000000.0,,,2668000000.0,-486000000.0,1798000000.0,605000000.0,2801000000.0,,,,
0001341439:2018:FY,ORCL,2018,39831000000.0,12891000000.0,9066000000.0,0.0,10608000000.0,26940000000.0,2888000000.0,0.0,3825000000.0,3825000000.0,0.9,3960000000.0,135000000.0,0.93,3825000000.0,26152000000.0,24287000000.0,13679000000.0,,,9677000000.0,-611000000.0,2025000000.0,1237000000.0,2888000000.0,,,,
0001341439:2019:FY,ORCL,2019,39506000000.0,13535000000.0,1185000000.0,0.0,25971000000.0,25971000000.0,,0.0,11235000000.0,11083000000.0,2.97,11235000000.0,152000000.0,3.05,11083000000.0,25971000000.0,,13535000000.0,,,2376000000.0,-1191000000.0,2082000000.0,,,,,,
0001341439:2020:FY,ORCL,2020,39068000000.0,13896000000.0,1928000000.0,0.0,25172000000.0,25172000000.0,,0.0,10299000000.0,10135000000.0,3.08,10299000000.0,164000000.0,3.16,10135000000.0,25172000000.0,,13896000000.0,,,2779000000.0,-851000000.0,1995000000.0,,,,,,
0001341439:2021:FY,ORCL,2021,40479000000.0,15213000000.0,-747000000.0,0.0,25266000000.0,25266000000.0,,0.0,13926000000.0,13746000000.0,4.55,13926000000.0,180000000.0,4.67,13746000000.0,25266000000.0,,15213000000.0,,,1678000000.0,-2425000000.0,2496000000.0,,,,,,
0001341439:2022:FY,ORCL,2022,42440000000.0,10926000000.0,932000000.0,0.0,31514000000.0,31514000000.0,,0.0,6901000000.0,6717000000.0,2.41,6901000000.0,184000000.0,2.49,6717000000.0,31514000000.0,,10926000000.0,,,2078000000.0,-1146000000.0,2755000000.0,,,,,,
0000051143:2011:FY,IBM,2011,106916000000.0,21003000000.0,5148000000.0,0.0,29135000000.0,85913000000.0,56778000000.0,0.0,15855000000.0,15855000000.0,13.06,15855000000.0,6000000.0,13.25,15855000000.0,85913000000.0,50138000000.0,21003000000.0,,21003000000.0,,1212000000.0,411000000.0,,40740000000.0,14973000000.0,,,
0000051143:2012:FY,IBM,2012,104507000000.0,21902000000.0,5298000000.0,0.0,28396000000.0,82605000000.0,54209000000.0,0.0,16604000000.0,16604000000.0,14.37,16604000000.0,11000000.0,14.53,16604000000.0,82605000000.0,50298000000.0,21902000000.0,,21902000000.0,,797000000.0,459000000.0,,39166000000.0,13956000000.0,-28000000.0,,
0000051143:2013:FY,IBM,2013,99751000000.0,19524000000.0,3041000000.0,0.0,28981000000.0,80227000000.0,51246000000.0,0.0,16483000000.0,16483000000.0,14.94,16483000000.0,7000000.0,15.06,16483000000.0,80227000000.0,48505000000.0,19524000000.0,,19524000000.0,,-1610000000.0,402000000.0,,37564000000.0,12572000000.0,-84000000.0,,
0000051143:2014:FY,IBM,2014,92793000000.0,19986000000.0,4234000000.0,0.0,26421000000.0,72807000000.0,46386000000.0,0.0,15751000000.0,12022000000.0,11.9,12022000000.0,6000000.0,11.97,12022000000.0,72807000000.0,46407000000.0,19986000000.0,,,,-237000000.0,484000000.0,,36034000000.0,9312000000.0,243000000.0,-3381000000.0,-3729000000.0
0000051143:2015:FY,IBM,2015,81741000000.0,15945000000.0,2581000000.0,0.0,24739000000.0,65796000000.0,41057000000.0,0.0,13364000000.0,13190000000.0,13.42,13190000000.0,0.0,13.48,13190000000.0,65796000000.0,40684000000.0,15945000000.0,,,,1387000000.0,468000000.0,,33126000000.0,6920000000.0,141000000.0,-71000000.0,-174000000.0
0000051143:2016:FY,IBM,2016,79919000000.0,12330000000.0,449000000.0,0.0,25964000000.0,67589000000.0,41625000000.0,0.0,11881000000.0,11872000000.0,12.38,11872000000.0,0.0,12.43,11872000000.0,67589000000.0,38294000000.0,12330000000.0,,,,-1132000000.0,630000000.0,,34021000000.0,6559000000.0,,,-9000000.0
0000051143:2017:FY,IBM,2017,79139000000.0,11400000000.0,5642000000.0,0.0,24827000000.0,67739000000.0,42913000000.0,0.0,5758000000.0,5753000000.0,6.14,5753000000.0,0.0,6.17,5753000000.0,67739000000.0,36227000000.0,11400000000.0,,,,-931000000.0,615000000.0,,34447000000.0,7256000000.0,,,-5000000.0
0000051143:2018:FY,IBM,2018,79591000000.0,11342000000.0,2619000000.0,0.0,25594000000.0,68249000000.0,42655000000.0,0.0,8723000000.0,8728000000.0,9.52,8728000000.0,0.0,9.57,8728000000.0,68249000000.0,36936000000.0,11342000000.0,,,,853000000.0,723000000.0,,,,,,5000000.0
0000051143:2019:FY,IBM,2019,77147000000.0,10166000000.0,731000000.0,0.0,26322000000.0,66981000000.0,40659000000.0,0.0,9435000000.0,9431000000.0,10.56,9431000000.0,0.0,10.63,9431000000.0,66981000000.0,36488000000.0,10166000000.0,,,,-1527000000.0,1344000000.0,,,,,,-4000000.0
0000051143:2020:FY,IBM,2020,73620000000.0,4637000000.0,-864000000.0,0.0,30938000000.0,68983000000.0,38046000000.0,0.0,5501000000.0,5590000000.0,6.23,5590000000.0,0.0,6.28,5590000000.0,68983000000.0,35575000000.0,4637000000.0,,,,-3203000000.0,1288000000.0,,,,,,89000000.0
0000051143:2021:FY,IBM,2021,57350000000.0,4837000000.0,124000000.0,0.0,26649000000.0,52513000000.0,25865000000.0,0.0,4712000000.0,5743000000.0,6.35,5743000000.0,0.0,6.41,5743000000.0,52513000000.0,31486000000.0,4837000000.0,,,,-2001000000.0,1155000000.0,,,,,,1030000000.0
